sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,125000,125,50,-223.0,-223.0,-222.12,0.06634932299493812,39,0.78,0.0040359860998793835,-223.0
ising_lab.PT,125000,125,50,-223.0,-223.0,-223.0,0.5884255279961508,50,1.0,0.011768510559923015,-223.0
neal.SA,125000,125,50,-223.0,-223.0,-221.56,0.44272532197646797,32,0.64,0.0399123567513519,-223.0
ising_lab.SA,125001,125,50,-225.0,-221.0,-222.2,0.0676093350048177,19,0.38,0.01302632536075651,-225.0
ising_lab.PT,125001,125,50,-225.0,-225.0,-225.0,0.614178293995792,50,1.0,0.012283565879915841,-225.0
neal.SA,125001,125,50,-225.0,-221.0,-222.44,0.44752661100937985,18,0.36,0.09235920976961909,-225.0
ising_lab.SA,125002,125,50,-217.0,-217.0,-216.92,0.07003952798550017,49,0.98,0.0016489879822892484,-217.0
ising_lab.PT,125002,125,50,-217.0,-217.0,-217.0,0.6167914700054098,50,1.0,0.012335829400108196,-217.0
neal.SA,125002,125,50,-217.0,-217.0,-216.92,0.46250399699783884,49,0.98,0.010889044440277612,-217.0
ising_lab.SA,125003,125,50,-221.0,-217.0,-217.24,0.06949430398526601,10,0.2,0.02868405516754549,-221.0
ising_lab.PT,125003,125,50,-221.0,-221.0,-221.0,0.612897452985635,50,1.0,0.0122579490597127,-221.0
neal.SA,125003,125,50,-221.0,-217.0,-217.56,0.443169663019944,13,0.26,0.13555876458977073,-221.0
ising_lab.SA,125004,125,50,-217.0,-217.0,-216.52,0.06896948700887151,44,0.88,0.002996007051891066,-217.0
ising_lab.PT,125004,125,50,-217.0,-217.0,-217.0,0.6421175529831089,50,1.0,0.012842351059662178,-217.0
neal.SA,125004,125,50,-217.0,-217.0,-216.52,0.45502721902448684,44,0.88,0.019766201201763138,-217.0
ising_lab.SA,125005,125,50,-225.0,-225.0,-225.0,0.07123610199778341,50,1.0,0.0014247220399556681,-225.0
ising_lab.PT,125005,125,50,-225.0,-225.0,-225.0,0.6629252989951055,50,1.0,0.013258505979902111,-225.0
neal.SA,125005,125,50,-225.0,-225.0,-224.68,0.4647320229851175,48,0.96,0.013297624221416662,-225.0
ising_lab.SA,125006,125,50,-219.0,-219.0,-219.0,0.06951797098736279,50,1.0,0.0013903594197472557,-219.0
ising_lab.PT,125006,125,50,-219.0,-219.0,-219.0,0.6376568650011905,50,1.0,0.012753137300023809,-219.0
neal.SA,125006,125,50,-219.0,-219.0,-218.92,0.4620656330080237,49,0.98,0.010878723740354803,-219.0
ising_lab.SA,125007,125,50,-213.0,-213.0,-212.76,0.07012847097939812,47,0.94,0.0022958151244634,-213.0
ising_lab.PT,125007,125,50,-213.0,-213.0,-213.0,0.6415133120026439,50,1.0,0.012830266240052879,-213.0
neal.SA,125007,125,50,-213.0,-213.0,-212.52,0.46774372199433856,44,0.88,0.020318601027039043,-213.0
ising_lab.SA,125008,125,50,-225.0,-221.0,-222.6,0.07642944701365195,20,0.4,0.013780460272293009,-225.0
ising_lab.PT,125008,125,50,-225.0,-225.0,-225.0,0.6582244320015889,50,1.0,0.013164488640031778,-225.0
neal.SA,125008,125,50,-225.0,-221.0,-222.92,0.47671057100524195,24,0.48,0.06714312444470807,-225.0
ising_lab.SA,125009,125,50,-217.0,-217.0,-215.88,0.07827367799472995,36,0.72,0.00566336728629825,-217.0
ising_lab.PT,125009,125,50,-217.0,-217.0,-217.0,0.7002376919845119,50,1.0,0.014004753839690237,-217.0
neal.SA,125009,125,50,-217.0,-217.0,-215.56,0.5041160009859595,32,0.64,0.04544681922776023,-217.0
ising_lab.SA,216000,216,50,-378.0,-374.0,-375.2,0.14085520600201562,15,0.3,0.036372736927274406,-378.0
ising_lab.PT,216000,216,50,-378.0,-378.0,-377.6,1.2782953559944872,45,0.9,0.05113181423977948,-378.0
neal.SA,216000,216,50,-378.0,-374.0,-374.96,0.8382411059865262,12,0.24,0.28132104055399976,-378.0
ising_lab.SA,216001,216,50,-386.0,-386.0,-385.92,0.141467552020913,49,0.98,0.0033306662662640828,-386.0
ising_lab.PT,216001,216,50,-386.0,-386.0,-386.0,1.2531178999925032,50,1.0,0.025062357999850064,-386.0
neal.SA,216001,216,50,-386.0,-386.0,-385.84,0.8005502200103365,48,0.96,0.022906568666585723,-386.0
