sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,200000,200,50,-2102.0,-2096.0,-2095.96,1.676158011017833,9,0.18,0.7779245539459075,-2102.0
ising_lab.PT,200000,200,50,-2102.0,-2102.0,-2102.0,12.895858078001766,50,1.0,0.2579171615600353,-2102.0
ising_lab.PT-ktht,200000,200,50,-2102.0,-2102.0,-2102.0,15.739111901988508,50,1.0,0.3147822380397702,-2102.0
neal.SA,200000,200,50,-2102.0,-2096.0,-2096.48,4.894323273998452,10,0.2,2.0201517354420635,-2102.0
ising_lab.SA,200001,200,50,-2096.0,-2096.0,-2086.8,1.7752328109927475,32,0.64,0.1600399203567892,-2096.0
ising_lab.PT,200001,200,50,-2096.0,-2096.0,-2096.0,13.28446656500455,50,1.0,0.265689331300091,-2096.0
ising_lab.PT-ktht,200001,200,50,-2096.0,-2096.0,-2096.0,16.434803599026054,50,1.0,0.3286960719805211,-2096.0
neal.SA,200001,200,50,-2096.0,-2096.0,-2082.4,5.688738486991497,27,0.54,0.6747363196431779,-2096.0
ising_lab.SA,200002,200,50,-2186.0,-2186.0,-2185.44,1.9207200109958649,47,0.94,0.06287914151727682,-2186.0
ising_lab.PT,200002,200,50,-2186.0,-2186.0,-2186.0,14.394125489983708,50,1.0,0.28788250979967417,-2186.0
ising_lab.PT-ktht,200002,200,50,-2186.0,-2186.0,-2186.0,16.91295436900691,50,1.0,0.3382590873801382,-2186.0
neal.SA,200002,200,50,-2186.0,-2186.0,-2185.4,5.699740969022969,46,0.92,0.20784716709413806,-2186.0
ising_lab.SA,200003,200,50,-2048.0,-2030.0,-2030.52,1.9804040679882746,4,0.08,2.187556197620413,-2048.0
ising_lab.PT,200003,200,50,-2048.0,-2048.0,-2045.88,14.876262545993086,30,0.6,1.495327157039227,-2048.0
ising_lab.PT-ktht,200003,200,50,-2048.0,-2048.0,-2045.96,17.614019678992918,30,0.6,1.770520108070814,-2048.0
neal.SA,200003,200,50,-2048.0,-2030.0,-2030.12,5.773541472997749,3,0.06,8.594090530755667,-2048.0
ising_lab.SA,200004,200,50,-2080.0,-2078.0,-2075.24,2.0535179110011086,16,0.32,0.49041843221172227,-2080.0
ising_lab.PT,200004,200,50,-2080.0,-2080.0,-2080.0,15.216280471999198,50,1.0,0.304325609439984,-2080.0
ising_lab.PT-ktht,200004,200,50,-2080.0,-2080.0,-2079.92,16.66623386699939,48,0.96,0.4768798020976982,-2080.0
neal.SA,200004,200,50,-2080.0,-2078.0,-2074.4,6.073203526990255,21,0.42,1.0268676532708805,-2080.0
ising_lab.SA,300000,300,50,-3856.0,-3839.0,-3840.48,4.7252477489819285,16,0.32,1.1284774193851366,-3856.0
ising_lab.PT,300000,300,50,-3856.0,-3856.0,-3855.8,33.59530632500537,45,0.9,1.3438122530002143,-3856.0
ising_lab.PT-ktht,300000,300,50,-3856.0,-3856.0,-3855.52,37.47610669300775,43,0.86,1.7555843620079667,-3856.0
neal.SA,300000,300,50,-3856.0,-3842.0,-3838.88,12.106562763976399,19,0.38,2.332577676629101,-3856.0
ising_lab.SA,300001,300,50,-3868.0,-3856.0,-3851.48,4.484446399001172,13,0.26,1.3717229865761078,-3868.0
ising_lab.PT,300001,300,50,-3868.0,-3868.0,-3867.6,34.51180476299487,47,0.94,1.1298224849460656,-3868.0
ising_lab.PT-ktht,300001,300,50,-3868.0,-3868.0,-3867.84,40.00443960001576,49,0.98,0.9418515806145749,-3868.0
neal.SA,300001,300,50,-3868.0,-3850.0,-3851.0,11.669908418989507,12,0.24,3.9165232486854213,-3868.0
ising_lab.SA,300002,300,50,-3922.0,-3920.0,-3914.68,5.0267702550045215,18,0.36,1.0374098813889605,-3922.0
ising_lab.PT,300002,300,50,-3922.0,-3922.0,-3921.92,35.529498792020604,48,0.96,1.0166244208368165,-3922.0
ising_lab.PT-ktht,300002,300,50,-3922.0,-3922.0,-3921.84,39.178220528003294,46,0.92,1.4286758280404368,-3922.0
neal.SA,300002,300,50,-3922.0,-3920.0,-3912.8,12.213267660001293,15,0.3,3.1538058423858217,-3922.0
ising_lab.SA,300003,300,50,-3992.0,-3992.0,-3974.84,4.750701630982803,38,0.76,0.3066013423091003,-3992.0
ising_lab.PT,300003,300,50,-3992.0,-3992.0,-3992.0,33.859811310016084,50,1.0,0.6771962262003217,-3992.0
ising_lab.PT-ktht,300003,300,50,-3992.0,-3992.0,-3992.0,37.699995422997745,50,1.0,0.7539999084599549,-3992.0
neal.SA,300003,300,50,-3992.0,-3992.0,-3970.04,11.44028824500856,34,0.68,0.9247479231114891,-3992.0
ising_lab.SA,300004,300,50,-3876.0,-3865.0,-3858.12,4.294241570984013,1,0.02,19.57729025453639,-3876.0
ising_lab.PT,300004,300,50,-3876.0,-3876.0,-3875.0,31.855460567981936,42,0.84,1.6010182376125757,-3876.0
ising_lab.PT-ktht,300004,300,50,-3876.0,-3876.0,-3873.96,37.26800293198903,30,0.6,3.746092588815664,-3876.0
neal.SA,300004,300,50,-3870.0,-3866.0,-3861.04,11.40964145201724,0,0.0,,-3876.0
