sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,200000,200,50,-2102.0,-2096.0,-2095.96,1.3266506319923792,9,0.18,0.6157140880220676,-2102.0
ising_lab.PT-wide,200000,200,50,-2102.0,-2102.0,-2102.0,13.675895794003736,50,1.0,0.27351791588007474,-2102.0
ising_lab.PT-narrow,200000,200,50,-2102.0,-2102.0,-2100.24,14.232052645005751,46,0.92,0.5189870627938635,-2102.0
neal.SA,200000,200,50,-2102.0,-2096.0,-2095.96,4.148110897018341,11,0.22,1.537684305121367,-2102.0
ising_lab.SA,200001,200,50,-2096.0,-2096.0,-2086.8,1.3814869399939198,32,0.64,0.1245431351209262,-2096.0
ising_lab.PT-wide,200001,200,50,-2096.0,-2096.0,-2096.0,14.52180022498942,50,1.0,0.2904360044997884,-2096.0
ising_lab.PT-narrow,200001,200,50,-2096.0,-2096.0,-2085.16,14.692760539008304,29,0.58,1.559945095209071,-2096.0
neal.SA,200001,200,50,-2096.0,-2096.0,-2084.44,4.535566916019889,28,0.56,0.508831968931516,-2096.0
ising_lab.SA,200002,200,50,-2186.0,-2186.0,-2185.44,1.4627562900132034,47,0.94,0.047886656690445166,-2186.0
ising_lab.PT-wide,200002,200,50,-2186.0,-2186.0,-2186.0,14.795461519999662,50,1.0,0.29590923039999323,-2186.0
ising_lab.PT-narrow,200002,200,50,-2186.0,-2186.0,-2179.52,16.045569028006867,47,0.94,0.5252882251766418,-2186.0
neal.SA,200002,200,50,-2186.0,-2186.0,-2185.96,4.790955759992357,49,0.98,0.11279671207296518,-2186.0
ising_lab.SA,200003,200,50,-2048.0,-2030.0,-2030.52,1.4859258120122831,4,0.08,1.641355050625386,-2048.0
ising_lab.PT-wide,200003,200,50,-2048.0,-2048.0,-2045.88,15.483748850005213,30,0.6,1.5563902611025122,-2048.0
ising_lab.PT-narrow,200003,200,50,-2048.0,-2040.0,-2037.36,15.19032396300463,10,0.2,6.26986768095545,-2048.0
neal.SA,200003,200,50,-2048.0,-2026.0,-2028.8,4.636025901010726,3,0.06,6.900864310502168,-2048.0
ising_lab.SA,200004,200,50,-2080.0,-2078.0,-2075.24,1.524980615999084,16,0.32,0.36419385428537104,-2080.0
ising_lab.PT-wide,200004,200,50,-2080.0,-2080.0,-2080.0,15.191134430002421,50,1.0,0.3038226886000484,-2080.0
ising_lab.PT-narrow,200004,200,50,-2080.0,-2078.0,-2076.6,15.508160393015714,23,0.46,2.318056616730086,-2080.0
neal.SA,200004,200,50,-2080.0,-2078.0,-2076.44,4.411153294000542,15,0.3,1.1390826286269156,-2080.0
ising_lab.SA,300000,300,50,-3856.0,-3839.0,-3840.48,3.373086291976506,16,0.32,0.8055560081380155,-3856.0
ising_lab.PT-wide,300000,300,50,-3856.0,-3856.0,-3855.8,34.75250642199535,45,0.9,1.3901002568798138,-3856.0
ising_lab.PT-narrow,300000,300,50,-3856.0,-3833.0,-3825.28,37.443966849008575,11,0.22,13.880294325446204,-3856.0
neal.SA,300000,300,50,-3856.0,-3836.0,-3836.08,10.207556342997123,17,0.34,2.262613090593125,-3856.0
ising_lab.SA,300001,300,50,-3868.0,-3856.0,-3851.48,3.8426789630029816,13,0.26,1.1754162263501844,-3868.0
ising_lab.PT-wide,300001,300,50,-3868.0,-3868.0,-3867.6,36.2562076820177,47,0.94,1.1869294851233154,-3868.0
ising_lab.PT-narrow,300001,300,50,-3868.0,-3850.0,-3850.08,34.775453284994,17,0.34,7.708347932648713,-3868.0
neal.SA,300001,300,50,-3868.0,-3850.0,-3849.48,9.864887811010703,9,0.18,4.57840991103629,-3868.0
ising_lab.SA,300002,300,50,-3922.0,-3920.0,-3914.68,3.4084229770232923,18,0.36,0.7034201877033986,-3922.0
ising_lab.PT-wide,300002,300,50,-3922.0,-3922.0,-3921.92,35.76095220199204,48,0.96,1.0232471201954623,-3922.0
ising_lab.PT-narrow,300002,300,50,-3922.0,-3920.0,-3910.92,37.45872780398349,19,0.38,7.217192358716958,-3922.0
neal.SA,300002,300,50,-3922.0,-3920.0,-3913.64,10.08782072601025,13,0.26,3.085708768290604,-3922.0
ising_lab.SA,300003,300,50,-3992.0,-3992.0,-3974.84,3.6406490189838223,38,0.76,0.23496063588102648,-3992.0
ising_lab.PT-wide,300003,300,50,-3992.0,-3992.0,-3992.0,38.926603737985715,50,1.0,0.7785320747597143,-3992.0
ising_lab.PT-narrow,300003,300,50,-3992.0,-3992.0,-3963.0,43.24500399900717,26,0.52,5.426674848774201,-3992.0
neal.SA,300003,300,50,-3992.0,-3992.0,-3979.72,10.889121968008112,42,0.84,0.5472745504703642,-3992.0
ising_lab.SA,300004,300,50,-3876.0,-3865.0,-3858.12,3.9545847959816456,1,0.02,18.028807440697534,-3876.0
ising_lab.PT-wide,300004,300,50,-3876.0,-3876.0,-3875.0,40.346614858019166,42,0.84,2.027773733667018,-3876.0
ising_lab.PT-narrow,300004,300,50,-3876.0,-3860.0,-3855.52,36.362556464009685,2,0.04,82.0419300342012,-3876.0
neal.SA,300004,300,50,-3870.0,-3865.0,-3861.2,9.75426858200808,0,0.0,,-3876.0
