sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,200000,200,50,-2102.0,-2096.0,-2095.96,1.3886793329729699,9,0.18,0.6445023342524266,-2102.0
ising_lab.PT,200000,200,50,-2102.0,-2102.0,-2102.0,13.698064002994215,50,1.0,0.2739612800598843,-2102.0
ising_lab.PT-tuned,200000,200,50,-2102.0,-2102.0,-2102.0,15.90456858399557,50,1.0,0.3180913716799114,-2102.0
neal.SA,200000,200,50,-2102.0,-2096.0,-2096.04,4.217673195991665,11,0.22,1.5634707071764145,-2102.0
ising_lab.SA,200001,200,50,-2096.0,-2096.0,-2086.8,1.5605934479972348,32,0.64,0.14068985745432172,-2096.0
ising_lab.PT,200001,200,50,-2096.0,-2096.0,-2096.0,15.25838076902437,50,1.0,0.3051676153804874,-2096.0
ising_lab.PT-tuned,200001,200,50,-2096.0,-2096.0,-2096.0,16.355130065989215,50,1.0,0.3271026013197843,-2096.0
neal.SA,200001,200,50,-2096.0,-2096.0,-2084.16,4.4976202849939,30,0.6,0.4520902836588733,-2096.0
ising_lab.SA,200002,200,50,-2186.0,-2186.0,-2185.44,1.4632137619773857,47,0.94,0.047901633076493796,-2186.0
ising_lab.PT,200002,200,50,-2186.0,-2186.0,-2186.0,15.770336387999123,50,1.0,0.31540672775998246,-2186.0
ising_lab.PT-tuned,200002,200,50,-2186.0,-2186.0,-2186.0,16.161085808998905,50,1.0,0.3232217161799781,-2186.0
neal.SA,200002,200,50,-2186.0,-2186.0,-2185.44,4.634744490991579,47,0.94,0.1517289105528594,-2186.0
ising_lab.SA,200003,200,50,-2048.0,-2030.0,-2030.52,1.5408885880024172,4,0.08,1.7020669847196115,-2048.0
ising_lab.PT,200003,200,50,-2048.0,-2048.0,-2045.88,16.045354077999946,30,0.6,1.6128415065923898,-2048.0
ising_lab.PT-tuned,200003,200,50,-2048.0,-2048.0,-2045.32,17.191635664989008,27,0.54,2.0390849401438516,-2048.0
neal.SA,200003,200,50,-2048.0,-2026.0,-2025.6,4.883800982002867,3,0.06,7.269684987944388,-2048.0
ising_lab.SA,200004,200,50,-2080.0,-2078.0,-2075.24,1.569181489001494,16,0.32,0.3747498483305672,-2080.0
ising_lab.PT,200004,200,50,-2080.0,-2080.0,-2080.0,15.372529446991393,50,1.0,0.30745058893982785,-2080.0
ising_lab.PT-tuned,200004,200,50,-2080.0,-2080.0,-2079.96,16.017219711007783,49,0.98,0.37710423774709406,-2080.0
neal.SA,200004,200,50,-2080.0,-2078.0,-2074.0,4.41337931502494,16,0.32,1.0539974123600462,-2080.0
ising_lab.SA,300000,300,50,-3856.0,-3839.0,-3840.48,3.366768609994324,16,0.32,0.8040472276806766,-3856.0
ising_lab.PT,300000,300,50,-3856.0,-3856.0,-3855.8,33.653813076991355,45,0.9,1.346152523079654,-3856.0
ising_lab.PT-tuned,300000,300,50,-3856.0,-3856.0,-3855.68,37.50633374400786,43,0.86,1.7570003612332896,-3856.0
neal.SA,300000,300,50,-3856.0,-3856.0,-3843.44,9.582805296988226,30,0.6,0.9632412010008171,-3856.0
ising_lab.SA,300001,300,50,-3868.0,-3856.0,-3851.48,3.3279686009918805,13,0.26,1.0179742653632509,-3868.0
ising_lab.PT,300001,300,50,-3868.0,-3868.0,-3867.6,37.08975992401247,47,0.94,1.214217715102893,-3868.0
ising_lab.PT-tuned,300001,300,50,-3868.0,-3868.0,-3867.84,41.27800083099282,49,0.98,0.9718358941157373,-3868.0
neal.SA,300001,300,50,-3868.0,-3850.0,-3848.36,10.63099461197271,7,0.14,6.49205694448789,-3868.0
ising_lab.SA,300002,300,50,-3922.0,-3920.0,-3914.68,3.8886881529761013,18,0.36,0.8025358850489109,-3922.0
ising_lab.PT,300002,300,50,-3922.0,-3922.0,-3921.92,40.05642675398849,48,0.96,1.1461558151423048,-3922.0
ising_lab.PT-tuned,300002,300,50,-3922.0,-3922.0,-3921.8,39.80625597797916,45,0.9,1.592250239119166,-3922.0
neal.SA,300002,300,50,-3922.0,-3920.0,-3914.56,10.084021179995034,15,0.3,2.6039751029420524,-3922.0
ising_lab.SA,300003,300,50,-3992.0,-3992.0,-3974.84,3.7375433539855294,38,0.76,0.24121401390416392,-3992.0
ising_lab.PT,300003,300,50,-3992.0,-3992.0,-3992.0,36.33829625599901,50,1.0,0.7267659251199803,-3992.0
ising_lab.PT-tuned,300003,300,50,-3992.0,-3992.0,-3992.0,38.80104799600667,50,1.0,0.7760209599201334,-3992.0
neal.SA,300003,300,50,-3992.0,-3992.0,-3975.36,9.78335673501715,37,0.74,0.6689169938554623,-3992.0
ising_lab.SA,300004,300,50,-3876.0,-3865.0,-3858.12,3.6760693689866457,1,0.02,16.75906579609839,-3876.0
ising_lab.PT,300004,300,50,-3876.0,-3876.0,-3875.0,35.533683903981,42,0.84,1.785881445927499,-3876.0
ising_lab.PT-tuned,300004,300,50,-3876.0,-3870.0,-3872.64,37.679719093983294,20,0.4,6.793767223686034,-3876.0
neal.SA,300004,300,50,-3876.0,-3866.0,-3861.44,10.02977816501516,1,0.02,45.725391801867985,-3876.0
