sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,500000,500,50,-8456.0,-8405.0,-8385.76,9.723923808021937,8,0.16,5.1367311808331175,-8456.0
ising_lab.PT,500000,500,50,-8456.0,-8456.0,-8449.88,74.68907182500698,35,0.7,5.713681996001807,-8456.0
neal.SA,500000,500,50,-8456.0,-8422.0,-8419.2,25.586007284000516,12,0.24,8.58688764050297,-8456.0
ising_lab.SA,500001,500,50,-8376.0,-8302.0,-8304.36,10.096460695989663,5,0.1,8.82606154513793,-8376.0
ising_lab.PT,500001,500,50,-8376.0,-8354.0,-8353.12,82.69325890901382,6,0.12,59.580143433913484,-8376.0
neal.SA,500001,500,50,-8376.0,-8315.0,-8314.56,24.765099771000678,5,0.1,21.64900169790717,-8376.0
ising_lab.SA,500002,500,50,-8426.0,-8308.0,-8315.08,9.975362953002332,14,0.28,2.796814327993507,-8426.0
ising_lab.PT,500002,500,50,-8426.0,-8426.0,-8410.96,110.20400911499746,32,0.64,9.935057944259187,-8426.0
neal.SA,500002,500,50,-8426.0,-8406.0,-8376.88,43.29879943601554,20,0.4,7.806904390652147,-8426.0
ising_lab.SA,500003,500,50,-8350.0,-8253.0,-8259.48,11.869061403995147,5,0.1,10.375622665107993,-8350.0
ising_lab.PT,500003,500,50,-8350.0,-8344.0,-8319.64,76.89612861300702,5,0.1,67.22058196005447,-8350.0
neal.SA,500003,500,50,-8350.0,-8292.0,-8295.6,27.794330369011732,11,0.22,10.303221548514577,-8350.0
ising_lab.SA,500004,500,50,-8384.0,-8338.0,-8333.12,10.929975472012302,5,0.1,9.554698335144924,-8384.0
ising_lab.PT,500004,500,50,-8384.0,-8380.0,-8376.8,102.24640514899511,9,0.18,47.453753521605385,-8384.0
neal.SA,500004,500,50,-8384.0,-8375.0,-8362.28,24.150783238001168,7,0.14,14.748221192635262,-8384.0
