sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,12000,12,50,-30.0,-30.0,-30.0,0.002171444008126855,50,1.0,4.34288801625371e-05,-30.0
ising_lab.PT,12000,12,50,-30.0,-30.0,-30.0,0.01745451200986281,50,1.0,0.0003490902401972562,-30.0
neal.SA,12000,12,50,-30.0,-30.0,-30.0,0.01196963299298659,50,1.0,0.0002393926598597318,-30.0
ising_lab.SA,12001,12,50,-22.0,-22.0,-21.96,0.0018678909982554615,49,0.98,4.3977021218463695e-05,-22.0
ising_lab.PT,12001,12,50,-22.0,-22.0,-22.0,0.015600818005623296,50,1.0,0.0003120163601124659,-22.0
neal.SA,12001,12,50,-22.0,-22.0,-22.0,0.011813969991635531,50,1.0,0.00023627939983271063,-22.0
ising_lab.SA,12002,12,50,-24.0,-24.0,-24.0,0.001519204000942409,50,1.0,3.0384080018848182e-05,-24.0
ising_lab.PT,12002,12,50,-24.0,-24.0,-24.0,0.015618370001902804,50,1.0,0.0003123674000380561,-24.0
neal.SA,12002,12,50,-24.0,-24.0,-23.92,0.011211122997337952,49,0.98,0.00026395105196031795,-24.0
ising_lab.SA,12003,12,50,-24.0,-24.0,-23.56,0.0014697500155307353,39,0.78,8.940393609490343e-05,-24.0
ising_lab.PT,12003,12,50,-24.0,-24.0,-24.0,0.01559568798984401,50,1.0,0.0003119137597968802,-24.0
neal.SA,12003,12,50,-24.0,-24.0,-23.76,0.01199463999364525,44,0.88,0.0005210423850366372,-24.0
ising_lab.SA,12004,12,50,-30.0,-30.0,-30.0,0.0017535150109324604,50,1.0,3.507030021864921e-05,-30.0
ising_lab.PT,12004,12,50,-30.0,-30.0,-30.0,0.01586120799765922,50,1.0,0.00031722415995318444,-30.0
neal.SA,12004,12,50,-30.0,-30.0,-30.0,0.01085989098646678,50,1.0,0.0002171978197293356,-30.0
ising_lab.SA,16000,16,50,-40.0,-40.0,-39.96,0.0038680509896948934,49,0.98,9.106814081056322e-05,-40.0
ising_lab.PT,16000,16,50,-40.0,-40.0,-40.0,0.025698492012452334,50,1.0,0.0005139698402490466,-40.0
neal.SA,16000,16,50,-40.0,-40.0,-40.0,0.015490339021198452,50,1.0,0.00030980678042396903,-40.0
ising_lab.SA,16001,16,50,-40.0,-40.0,-40.0,0.003125101007753983,50,1.0,6.250202015507966e-05,-40.0
